word,count
mehr,91
mal,75
immer,70
schon,59
heute,57
bitte,52
corona,52
ja,50
gibt,49
geht,48
neue,47
the,43
seit,42
menschen,41
wurde,39
kommt,34
ab,32
zug,32
beim,31
gerade,31
nachrichten,30
deutschen,30
müssen,28
jahr,28
zeit,28
minuten,28
deutschland,28
us,27
erste,26
viele,25
jahren,25
ganz,24
lassen,24
buch,24
to,24
wort,23
zwei,23
bahn,23
warum,23
gleich,23
fahrgäste,23
ehrliche,22
sagt,22
ice,22
wer,22
wegen,22
besten,21
einfach,21
macht,21
of,21
fakten,20
erst,20
is,20
leider,20
gute,19
shirt,19
heißt,19
kalender,19
verspätung,19
eigentlich,19
wirklich,19
dafür,19
omikron,19
liebe,19
berlin,18
paar,18
ukraine,18
worden,18
wissen,18
jemand,18
woche,18
mann,17
danke,17
erreichen,17
cdu,17
möchte,17
halt,17
steht,17
wäre,17
russland,17
fall,17
eu,16
hätte,16
tag,16
schreibt,16
gerne,16
gut,16
wohl,16
pandemie,16
angst,16
halten,16
stehen,15
leserbriefe,15
regierung,15
kommen,15
leben,15
aufgrund,15
gar,15
covid,15
weiß,15
gehört,15
welt,15
wagen,14
dürfen,14
schön,14
fast,14
land,14
gilt,14
meinung,14
präsident,14
geben,14
richtig,13
natürlich,13
nie,13
euro,13
rote,13
deutlich,13
drei,13
tun,13
wurden,13
falsch,13
deshalb,13
verlassen,13
echt,13
sehen,13
endlich,13
genau,12
frau,12
zeigt,12
jahre,12
grünen,12
gestorben,12
deutsche,12
wenig,12
oh,12
afd,12
tage,12
tages,12
kw,12
baerbock,12
fahrt,11
fahren,11
novak,11
hamburg,11
kinder,11
impfung,11
lässt,11
for,11
offenbar,11
maske,11
sagen,11
australien,11
gehen,11
johnson,11
kurz,11
grund,11
europa,11
nächste,11
ersten,11
ende,11
teil,10
usa,10
rund,10
artikel,10
alt,10
mitte,10
hause,10
alter,10
österreich,10
kekse,10
neuen,10
demokratie,10
besser,10
biden,10
politiker,10
statt,10
bringen,10
oft,10
bald,10
impfpflicht,10
partei,10
prozent,10
bundesregierung,10
liegt,10
bahnhof,10
it,10
wordle,10
groß,10
boris,10
bereits,10
niemand,10
sofort,10
bisschen,10
frankreich,10
lokführer,10
tragen,10
sei,10
korrekt,10
puh,10
open,10
kam,9
zahlen,9
nationen,9
stand,9
bekannt,9
vielleicht,9
on,9
team,9
köln,9
as,9
kritik,9
künftig,9
setzen,9
laut,9
sieht,9
bekommen,9
frauen,9
ansage,9
bitten,9
lockdown,9
falls,9
bisher,9
and,9
mindestens,9
informationen,9
uhr,9
bescheid,9
dabei,9
später,9
gab,9
nummer,9
zurück,9
zukunft,9
inzwischen,9
meist,8
polizei,8
fordert,8
spd,8
türchen,8
laschet,8
meisten,8
linken,8
trotzdem,8
sollen,8
erhalten,8
vielen,8
je,8
mache,8
suchen,8
raus,8
djokovic,8
funktioniert,8
that,8
sollten,8
darauf,8
gesehen,8
lang,8
lange,8
australian,8
warten,8
adjektiv,8
erklärt,8
stellen,8
letzte,8
nehmen,8
querdenker,8
hauptbahnhof,8
erstmals,8
daten,8
tut,8
stadt,8
welle,8
möchten,8
moskau,8
treffen,8
zeiten,8
bild,8
früher,8
jungen,8
maßnahmen,8
tonga,8
tagen,8
wann,8
weltweit,8
leid,8
finde,8
regel,8
chef,8
sogar,7
familie,7
spiegel,7
gemacht,7
mehrere,7
aussteigen,7
gesellschaft,7
substantiv,7
super,7
annalena,7
lesen,7
gern,7
strom,7
em,7
variante,7
twitter,7
papst,7
morgen,7
vulkanausbruch,7
bleiben,7
jahrelang,7
legt,7
monats,7
israel,7
recht,7
konflikt,7
klasse,7
sieben,7
schwer,7
erwartet,7
herren,7
vergessen,7
nutzen,7
getrennt,7
außenministerin,7
hiermit,7
türen,7
fehler,7
münchen,7
könnt,7
neu,7
stark,7
coronavirus,7
kanzler,7
finden,7
beide,7
eigenen,7
angaben,7
problem,7
geehrte,7
pro,7
damen,7
gekommen,7
zusammen,7
media,7
nacht,7
davon,6
große,6
besonders,6
neues,6
premier,6
schreiben,6
preise,6
neuer,6
digitale,6
milliarden,6
be,6
neben,6
scholz,6
erneut,6
nen,6
geworden,6
de,6
millionen,6
singular,6
etwa,6
this,6
völlig,6
gesundheitsminister,6
text,6
who,6
benedikt,6
what,6
gestern,6
lage,6
lautet,6
ganze,6
brauche,6
glaube,6
