word,count
rai,123
oggi,111
raiplay,92
prima,89
ora,84
vita,82
streaming,79
mondo,72
anni,72
premio,69
italia,68
edizione,66
nuovo,64
sempre,58
essere,57
poco,56
dio,55
diretta,55
stasera,54
grazie,54
quando,53
solo,53
fa,51
dopo,49
due,47
via,46
libri,45
altro,44
insieme,43
storia,43
ancora,42
serata,41
altri,41
qui,41
nuova,39
fare,38
incontro,38
guerra,37
ecco,37
finalista,37
me,36
cosa,34
mai,33
de,32
tempo,32
senza,32
giorno,32
anno,32
puntata,30
gesù,30
fatto,30
grande,29
cos,29
speciale,29
pace,28
no,27
paese,27
pu,27
domani,27
covid,26
padre,26
persone,25
amore,25
casa,25
poi,24
primo,24
futuro,24
platino,24
madre,24
tanto,24
francesca,24
cuore,23
già,23
ogni,23
parte,23
stato,23
oro,23
cura,23
parole,22
meloni,22
romanzo,22
intervista,22
viaggio,22
libro,22
europei,21
lavoro,21
congratulazioni,21
chiesa,21
valente,21
milano,21
disco,21
nulla,21
ucraina,21
signore,21
liberi,21
bisogno,21
bene,20
roma,20
ore,20
tutte,20
giorni,20
onda,20
giovani,20
cose,20
fratelli,19
spirito,19
torna,19
musica,19
calvino,19
nuovi,19
fuori,19
male,19
strada,19
new,19
scoperta,19
marco,19
migliore,19
va,18
dialogo,18
presentazione,18
sala,18
bambini,18
sito,18
giornata,18
autore,17
uomo,17
italiani,17
appuntamento,17
terra,17
euro,17
inizia,17
maria,17
xxxv,17
berlusconi,17
alcuni,17
ultimo,17
possibile,17
elezioni,17
racconta,17
oltre,17
vuole,17
nuoto,16
arena,16
seconda,16
vincitore,16
senso,16
menzione,16
volta,16
segnalare,16
fino,16
robinson,16
tre,16
lettura,16
opera,16
parla,16
presenta,16
the,16
popolo,16
york,15
stefano,15
ricerca,15
sotto,15
volte,15
molto,15
speranza,15
aspettiamo,15
libertà,15
parlare,15
europa,15
ultima,15
ragazzi,15
matteo,15
mentre,14
appena,14
lombardia,14
vedere,14
secondo,14
sera,14
buon,14
caso,14
voce,14
finalisti,14
avere,14
trump,14
paolo,14
porteranno,14
altra,14
santo,14
scopri,14
dire,14
xxxiii,14
forza,14
stata,14
fede,14
vivere,14
usa,14
modo,14
rushdie,13
donne,13
anziani,13
letture,13
italiana,13
crisi,13
meno,13
stesso,13
momento,13
vista,13
to,13
morti,13
deve,13
far,13
luca,13
estate,13
programma,13
quest,13
città,13
alberi,12
finale,12
nazionale,12
francesco,12
russia,12
molos,12
moscatelli,12
destra,12
mondiale,12
nicol,12
palco,12
visione,12
femminile,12
vivo,12
spazio,12
piazza,12
eleni,12
piccoli,12
maggio,12
stand,12
po,12
politica,12
ascolto,12
studio,12
lingua,12
subito,12
armi,12
famiglie,12
famiglia,12
gioia,12
comunità,12
grandi,12
favore,12
viene,12
critica,12
donna,12
rischio,12
cristo,12
ricordo,12
cari,12
passa,12
singolo,12
quel,11
aiuto,11
giulia,11
qualcuno,11
salvini,11
video,11
cammino,11
tutta,11
preghiera,11
analisi,11
angela,11
dicembre,11
xxxiv,11
nuove,11
pubblicato,11
tante,11
presidente,11
app,11
eventi,11
terzo,11
pronti,11
film,11
eolao,11
live,11
continua,11
pandemia,11
mario,11
fine,11
acqua,11
dedicato,11
draghi,11
fbi,11
calcio,11
altre,11
parola,11
vorrei,11
artificiale,10
mattarella,10
tv,10
evento,10
dobbiamo,10
sorelle,10
stati,10
state,10
agosto,10
tanti,10
mani,10
legge,10
articolo,10
durante,10
ultimi,10
mamma,10
milioni,10
amici,10
scorso,10
stare,10
memoria,10
documenti,10
attraverso,10
gente,10
prossimo,10
possono,10
partire,10
parodi,10
carlo,10
san,10
ieri,10
forse,10
possa,10
giugno,10
possiamo,10
salman,10
vincitrice,10
posto,10
premiazione,10
vero,10
giovanni,10
verità,10
camminare,10
foto,10
calenda,10
sa,10
casi,10
giorgio,10
renzi,10
centrodestra,10
passato,10
comunque,10
piano,10
proposito,10
corsa,10
ciascuno,10
chiamati,10
festa,9
ospite,9
amare,9
auditorium,9
trova,9
settimana,9
resta,9
trovare,9
qualcosa,9
domenica,9
ricorda,9
avanti,9
collaborazione,9
vinto,9
pop,9
luglio,9
cambia,9
intero,9
porta,9
pd,9
rap,9
giuria,9
fiera,9
sguardo,9
racconto,9
figlia,9
accordo,9
vediamo,9
ritorno,9
dice,9
is,9
morto,9
venerd,9
gianmarco,9
detto,9
numero,9
tornare,9
pronto,9
scrittore,9
presentare,9
occhi,9
bla,9
ex,9
credo,8
instagram,8
cuori,8
fronte,8
ghali,8
luoghi,8
popolazione,8
propria,8
te,8
scrivere,8
lorenzo,8
cinema,8
creato,8
dialoga,8
rafanelli,8
mette,8
vangelo,8
luce,8
mare,8
presto,8
soldi,8
luna,8
intelligenza,8
scorsa,8
aggredito,8
cielo,8
primi,8
bisogna,8
stop,8
peppone,8
stagione,8
luned,8
presso,8
età,8
parlano,8
repubblica,8
carcere,8
segui,8
davvero,8
vive,8
on,8
quasi,8
album,8
invece,8
gran,8
calcagnanti,8
pubblico,8
cercare,8
sé,8
finalmente,8
coloro,8
uscire,8
gioco,8
letta,8
qualche,8
problema,8
uomini,8
auto,8
dolore,8
scalia,8
umana,8
of,8
umanità,8
rispetto,8
figli,8
animali,8
fascismo,8
sfida,8
lavorare,8
vecchio,8
capire,8
dato,8
novità,8
testi,8
servizio,8
dono,8
mancate,7
elena,7
vogliamo,7
piccolo,7
federico,7
lettori,7
amati,7
protagonisti,7
putin,7
artista,7
andare,7
quei,7
contemporanea,7
you,7
and,7
trovate,7
presenza,7
positivi,7
coraggio,7
internet,7
internazionale,7
conto,7
climatico,7
politiche,7
claudio,7
stampa,7
cinque,7
proprio,7
kiev,7
autori,7
uniti,7
scrittura,7
causa,7
media,7
meglio,7
particolare,7
guarigione,7
mesi,7
silvia,7
parlerà,7
salute,7
parlato,7
siccità,7
vicino,7
basta,7
alberto,7
idea,7
online,7
caldo,7
beat,7
calore,7
missione,7
responsabilità,7
capacità,7
russi,7
cambiamento,7
roberto,7
bello,7
documentario,7
alessandra,7
indagato,7
paura,7
morte,7
società,7
sorella,7
scena,7
notte,7
impazzire,7
importante,7
natura,7
perdono,7
niente,7
tullio,7
edicola,7
perdere,7
riconciliazione,7
uscita,7
buco,7
virus,7
soli,7
napoli,6
dna,6
pure,6
purtroppo,6
scuole,6
compleanno,6
letterario,6
letteratura,6
concetto,6
territorio,6
testimonianza,6
lacrime,6
potrebbero,6
news,6
arriva,6
processo,6
potrebbe,6
sapere,6
pregare,6
sembra,6
protagonista,6
preso,6
segnalato,6
diritti,6
sappiamo,6
scoperto,6
johnson,6
distruzione,6
compagnia,6
occasione,6
segno,6
libero,6
nuvola,6
offerta,6
prossima,6
lc,6
lega,6
john,6
disponibile,6
complimenti,6
auguri,6
arte,6
bambino,6
realtà,6
recensione,6
luigi,6
so,6
pensa,6
centro,6
dà,6
attenzione,6
cerca,6
aver,6
elisabetta,6
maddalena,6
autrice,6
regina,6
pieno,6
piccola,6
ricchezza,6
picco,6
persona,6
spesso,6
costa,6
manca,6
chiede,6
editoriale,6
mano,6
reale,6
clima,6
campagna,6
sistema,6
bellocchio,6
ascoltare,6
out,6
rivista,6
canton,6
paesi,6
milan,6
mila,6
stromboli,6
lista,6
aspettano,6
risultati,6
porto,6
raccontare,6
porterà,6
donatella,6
danni,6
conti,6
entra,6
doppio,6
popolazioni,6
base,6
love,6
mente,6
pomeriggio,6
nessuno,6
banda,6
visto,6
voglia,6
torino,6
fiamma,6
ama,6
giorgia,6
turista,6
giornalismo,6
verso,6
addio,6
allarme,6
francia,6
fake,6
incontrare,6
fango,6
farci,6
umano,6
troppo,6
top,6
inizio,6
tour,6
ucraino,6
intervistato,6
insegna,6
vittoria,6
isole,6
immagini,6
immagine,6
gentile,6
vendita,6
ucraini,6
illustrazione,6
incremento,6
vocazione,6
mosca,5
resto,5
restituisce,5
