word,count
pa,108
cu,98
ser,98
as,93
est,84
mundo,80
si,76
the,69
seg,64
ses,61
espa,60
ahora,52
mo,46
dos,45
millones,45
covid,44
to,42
hoy,42
unidos,41
aqu,41
curso,39
of,39
salvador,39
is,38
puede,38
gracias,37
mejor,37
parte,36
presidente,35
an,35
datos,33
informaci,33
and,33
ver,33
we,32
puedes,32
adecuado,32
fico,31
vida,31
cada,30
in,30
tonga,30
mayor,29
mira,28
nuevo,28
tras,28
tres,27
forma,27
momento,27
mismo,27
hace,27
uso,27
tal,26
mundial,26
solo,26
personas,26
gran,26
this,25
felicidades,25
vez,24
casa,24
pr,24
cerca,24
muchas,24
da,24
incre,24
gobierno,24
pues,24
noticias,23
primer,23
poder,22
you,22
enero,22
biden,22
méxico,22
historia,22
bien,22
ble,22
ee,21
semana,21
aunque,21
sido,21
uu,21
coronavirus,21
ol,21
cuenta,21
siempre,21
saludo,20
menos,20
volc,20
caso,20
sigue,19
nivel,19
primera,19
mientras,19
lares,19
buen,19
cuéntanos,19
ir,19
persona,18
ma,18
pueden,18
creo,18
va,18
usted,18
will,18
nunca,18
pasado,18
toda,18
bbc,18
cosas,18
pandemia,18
tsunami,17
gente,17
nto,17
tener,17
trabajo,17
medio,17
verdad,17
it,17
ana,16
erupci,16
ucrania,16
pac,16
micron,16
sé,16
scula,16
casos,16
dice,16
aprender,15
lengua,15
ten,15
estudio,15
poblaci,15
nueva,15
minute,15
energy,15
that,15
hecho,15
dar,15
chile,14
favor,14
tiempo,14
después,14
platzi,14
casi,14
escucha,14
for,14
varios,14
hola,14
venezuela,14
video,14
nuevos,14
rico,14
escribir,14
rusia,13
podr,13
genes,13
van,13
asombroso,13
leo,13
hora,13
feliz,13
interés,13
veces,13
comunidad,13
final,13
décadas,13
parece,13
investigaci,13
ve,13
proyecto,12
brasil,12
are,12
global,12
ltima,12
saber,12
per,12
grandes,12
china,12
luego,12
mero,12
buena,12
all,12
nombre,12
hacer,12
im,12
have,12
nica,12
posible,12
mejores,12
palabra,12
colombia,12
dijo,11
todas,11
voy,11
dentro,11
usar,11
familia,11
escuela,11
cuatro,11
with,11
correcto,11
from,11
paso,11
expresi,11
but,11
siguen,11
do,11
may,11
cables,11
petr,11
gr,11
media,11
nacional,11
ayer,11
vas,11
seguir,11
libro,11
cuanto,11
estadounidenses,11
realidad,11
explica,11
adecuada,10
informe,10
menor,10
rica,10
plural,10
primeros,10
puerto,10
acaba,10
so,10
usuarios,10
min,10
ah,10
genial,10
mujer,10
siendo,10
sabes,10
tan,10
quiero,10
contenido,10
blica,10
américa,10
joe,10
about,10
edad,10
habr,10
web,10
plan,10
euros,10
hunga,10
latinoamericanos,10
hab,10
gusta,10
trata,10
argentina,10
trump,10
europa,10
camino,10
decir,10
puesto,10
idea,10
mar,10
ndo,10
on,10
lunes,9
cinco,9
total,9
tica,9
puedo,9
hablar,9
latina,9
diccionario,9
diciembre,9
herramientas,9
enlace,9
recomendaci,9
pregunta,9
culo,9
encuesta,9
ctica,9
palabras,9
tico,9
ltimos,9
deber,9
nuevas,9
llegar,9
us,9
pol,9
ojal,9
placer,9
nde,9
siguiente,9
deuda,9
regi,9
ondas,9
tendr,9
pareci,9
horas,9
estadounidense,9
pel,9
internet,8
nico,8
more,8
simo,8
peque,8
perro,8
ambas,8
autoridades,8
portada,8
abrazo,8
agua,8
importante,8
dura,8
guion,8
pronto,8
not,8
navidad,8
deja,8
compra,8
ola,8
claro,8
estadio,8
turqu,8
mensaje,8
amigo,8
caza,8
cursos,8
embargo,8
gasolina,8
ltimo,8
espera,8
city,8
visto,8
tipo,8
madre,8
trimestre,8
dudas,8
tema,8
edici,8
hist,8
qued,8
cara,8
vacunaci,8
cifra,8
actor,8
segundos,8
cr,8
bueno,8
escrito,8
excelente,8
instagram,8
publicado,8
our,8
viaje,8
general,8
ninguna,8
crecimiento,8
sab,8
seguimos,8
ejemplo,8
siglo,8
niveles,8
much,8
encontrado,8
jueves,8
librer,8
tecnolog,7
actual,7
expertos,7
domingo,7
oportunidad,7
new,7
noviembre,7
cantidad,7
dicen,7
only,7
mw,7
riesgo,7
ambos,7
precios,7
llegan,7
alguna,7
xvi,7
sur,7
lista,7
haber,7
carta,7
recibe,7
tomar,7
lugares,7
escribe,7
sexual,7
ximo,7
mercado,7
conferencia,7
salud,7
opini,7
cursiva,7
empresa,7
sexo,7
reciente,7
be,7
derrame,7
what,7
realmente,7
variante,7
contagiosa,7
enviando,7
actualmente,7
benedicto,7
dif,7
ropa,7
porcentaje,7
ar,7
obra,7
aprendizajes,7
unas,7
ltimas,7
cuentas,7
sino,7
redes,7
seis,7
cierto,7
can,7
fiscal,7
revista,7
investiga,7
lejos,7
fica,7
evitar,7
recuerdo,7
contexto,7
cl,7
frontera,7
cula,7
re,7
cil,7
fuerte,7
neas,7
educaci,7
segundo,7
proyectos,7
caribe,7
amos,7
derivados,7
contamos,7
sudamérica,7
caus,6
maravilloso,6
