word,count
die,925
der,863
in,628
und,622
das,426
ist,414
mit,313
ich,310
ein,303
nicht,294
im,273
den,269
von,266
zu,256
sie,254
es,237
für,236
auf,230
eine,217
sich,217
hat,204
wir,184
nach,163
als,160
auch,156
aus,150
dem,149
an,141
noch,135
wie,133
aber,132
bei,127
so,125
des,123
haben,122
um,121
vor,120
sind,119
einer,118
was,110
man,107
jetzt,105
er,103
dass,100
mehr,99
oder,95
wird,92
wenn,90
nur,89
am,89
einem,81
einen,79
nun,78
kann,75
zum,73
ihr,73
werden,73
immer,72
wieder,71
hier,71
war,71
mal,71
schon,69
gegen,67
heute,66
da,64
uns,63
corona,63
alle,63
über,61
geht,57
wurde,56
gibt,56
doch,54
menschen,54
ja,53
neue,52
bitte,51
zur,51
sein,51
the,50
mir,50
dann,49
seit,49
habe,47
sehr,46
soll,43
weil,43
ihre,43
viele,42
jahren,41
bin,39
deutschland,39
ab,39
kommt,38
ukraine,37
beim,37
russland,37
mich,36
ohne,36
zeit,35
muss,35
könnte,34
seine,34
zwei,33
zug,33
will,33
hatte,33
müssen,32
bis,32
können,32
alles,32
lassen,30
diese,30
ins,30
machen,30
erste,30
gerade,30
keine,29
macht,29
jahr,29
unser,29
nachrichten,29
vom,28
kein,28
minuten,28
damit,28
us,28
durch,27
mann,27
sagt,27
deutschen,27
fast,26
anderen,26
to,26
of,26
also,26
dieser,26
wort,25
nichts,25
warum,25
baerbock,24
etwas,24
ihnen,24
leben,24
deutsche,24
viel,23
gleich,23
selbst,23
dafür,23
buch,23
eu,23
wegen,23
wo,23
pandemie,23
omikron,23
würde,23
fahrgäste,23
ganz,23
wer,22
meine,22
regierung,22
ice,22
erst,22
bahn,22
du,21
europa,21
paar,21
liebe,21
besten,21
eigentlich,21
steht,21
is,21
dort,21
diesem,21
ihren,20
sollte,20
ehrliche,20
leider,20
einfach,20
welt,19
worden,19
eines,19
weiter,19
gut,19
gute,19
heißt,19
unter,19
mein,19
hab,19
berlin,19
woche,19
verspätung,19
cdu,19
unsere,19
stehen,19
wohl,19
seinen,18
danke,18
denn,18
fall,18
wäre,18
fakten,18
ob,18
moskau,18
dazu,18
euro,18
angst,18
jemand,18
kalender,18
offenbar,18
shirt,18
wirklich,18
euch,18
wissen,18
covid,18
ihrem,18
außenministerin,17
genau,17
weg,17
frau,17
ihm,17
wurden,17
zwischen,17
drei,17
sehen,17
spiegel,17
schreibt,17
halt,17
ihrer,17
millionen,17
grünen,17
möchte,16
kam,16
gerne,16
aufgrund,16
dieses,16
ersten,16
erreichen,16
jahre,16
hätte,16
tag,16
halten,16
hamburg,16
gar,16
gilt,15
leserbriefe,15
wollen,15
boris,15
seiner,15
lange,15
sondern,15
dürfen,15
kiew,15
diesen,15
während,15
werde,15
gehört,15
weiß,15
alter,15
schön,15
kurz,15
sei,14
kinder,14
erstmals,14
natürlich,14
wagen,14
künftig,14
usa,14
jeden,14
endlich,14
geben,14
neuen,14
tun,14
präsident,14
konflikt,14
keinen,14
meinung,14
annalena,14
gehen,14
demokratie,14
deshalb,14
sollen,13
johnson,13
echt,13
afd,13
frauen,13
bereits,13
stand,13
open,13
oft,13
politiker,13
richtig,13
ende,13
gericht,13
welche,13
zurück,13
nie,13
chef,13
impfung,13
novak,13
spd,13
kommen,13
putin,13
inzwischen,13
prozent,12
tage,12
verlassen,12
sogar,12
andere,12
gab,12
tages,12
wenig,12
bald,12
frankreich,12
bekannt,12
erklärt,12
deutlich,12
lage,12
gestorben,12
waren,12
droht,12
grund,12
oh,12
ihn,12
rote,12
lässt,12
falsch,12
bundesregierung,12
kw,12
dabei,12
for,12
warnt,11
welle,11
problem,11
polizei,11
sofort,11
statt,11
hause,11
vielen,11
fordert,11
fahren,11
treffen,11
zeigt,11
thema,11
erhalten,11
scholz,11
fahrt,11
laut,11
impfpflicht,11
suchen,11
partei,11
artikel,11
sieben,11
krieg,11
australien,11
darauf,10
gemacht,10
sieht,10
lokführer,10
meisten,10
maske,10
maßnahmen,10
korrekt,10
lockdown,10
wochen,10
land,10
unseren,10
köln,10
wollte,10
premier,10
australian,10
besser,10
nächste,10
trifft,10
raus,10
kaum,10
and,10
bahnhof,10
tagen,10
zukunft,10
it,10
kekse,10
mindestens,10
nimmt,10
bisschen,10
grenze,10
puh,10
hans,10
außenminister,10
team,10
teil,10
polen,10
nato,10
sagen,10
nationen,9
dagegen,9
fordern,9
alt,9
tragen,9
vielleicht,9
später,9
mache,9
ansage,9
zusammen,9
setzen,9
kritik,9
niemand,9
jahrelang,9
inzidenz,9
nummer,9
bringen,9
bild,9
letzte,9
hauptbahnhof,9
einmal,9
präsidenten,9
text,9
bekommen,9
liegt,9
de,9
linken,9
bitten,9
hoffnung,9
österreich,9
ex,9
häuser,9
on,9
recht,9
uhr,9
gespräch,9
amtskollegen,9
musste,9
fdp,9
kanzler,9
klare,9
wordle,9
zeigen,9
fehler,9
bescheid,9
generalsekretär,9
wann,9
morgen,9
anders,9
rund,9
möchten,9
as,9
meinen,9
finde,9
falls,9
russischen,9
trotzdem,9
funktioniert,8
lang,8
rolle,8
coronavirus,8
strom,8
leid,8
vorsitzende,8
liegen,8
impfen,8
obwohl,8
sagte,8
adjektiv,8
trotz,8
brauche,8
vulkanausbruch,8
sollten,8
querdenker,8
hoch,8
angaben,8
entdeckt,8
darf,8
seien,8
social,8
bleiben,8
parlament,8
super,8
laschet,8
familie,8
ehemaligen,8
merkel,8
informationen,8
groß,8
zeiten,8
deutschlands,8
allem,8
amt,8
nehmen,8
erzählt,8
früher,8
wahl,8
je,8
zugleich,8
amp,8
warten,8
schwer,8
spricht,8
schweren,8
beispiel,8
variante,8
kritisiert,8
abend,8
antwort,8
türchen,8
stellen,8
that,8
könnten,8
stadt,8
em,8
gesehen,8
tut,8
interview,8
meist,8
neun,8
neuer,8
hinter,8
pro,7
probleme,7
davon,7
mehrere,7
vorwürfe,7
meiner,7
finden,7
beide,7
prozess,7
eltern,7
nacht,7
personen,7
ausbruch,7
unserem,7
monats,7
villa,7
virus,7
denen,7
