German,French,Italian,Spanish,English
"@MeehrChaos @neSeemannsbraut Naja, ich war gerade in Frankreich, es ist tatsächlich schrecklich trocken und extrem heiß, aber gelb sind im Moment einfach vor allem die sommerlich abgeernteten Felder. Da sind riesige Agrarflächen (auch schlimm!). Vergleich mit Fotos aus dem Frühjahr hinkt.",Un début d’accalmie sur le front des incendies en France https://t.co/EaSnVv7DS2,"Siamo al mondo per vivere una storia d’amore con Dio, per abbracciare l’audacia di scelte forti, per avventurarci nel rischio meraviglioso di amare.","Cuando el escritor estaba en el escenario, el agresor se subió a la tarima y asestó a Rushdie al menos una puñalada en el cuello y otra en el abdomen. https://t.co/rB3JpHjv0V","We’re told not to dwell on the past, but is nostalgia the exception? This and more in our weekly newsletter. 

https://t.co/hK61K4QIwM"
"@FrauZimt „Ich finde, in der Stadt hält man das gar nicht aus, ich fahre abends immer noch kurz in den Wald, da sind zwar keine Parkplätze, aber ich find schon ein Plätzchen für meinen Ländy.“",Etats-Unis : le plan climat et santé de Joe Biden adopté par le Congrès https://t.co/MGsVOr8X2K,"Chi si crede ricco, vincente e sicuro, fonda tutto su di sé e si chiude a Dio e ai fratelli, mentre chi sa di essere povero e di non bastare a sé stesso rimane aperto a Dio e al prossimo. E trova la gioia.","El caso de Lee reafirma la concepción popular de que los líderes empresariales son intocables y están por encima de la ley.

https://t.co/54KwuBsDnV","Despite our intuition, Wilson says we're not actually very good at predicting what we’ll want in the future. This week, how to notice that tendency – and override it. (3/3)

https://t.co/3eEOmmD46Q"
"„Ach, diese Hitzewellen, dieser Klimawandel, schlimm, muss gleich mal die Klimaanlage hochdrehen, während ich im Feierabendverkehr im Ampelstau warte.“","Marchés d’Europe, Stevenson, luttes féministes… Les replays du week-end https://t.co/kDFQ8xxZqL",La vecchiaia è la fase della vita più adatta a diffondere la lieta notizia che la vita è iniziazione per un compimento definitivo. E il meglio deve ancora venire. Dio ci conceda una vecchiaia capace di questo!,La orden de registro al hogar del expresidente expone que Trump está siendo investigado por posible obstrucción a la justicia y violaciones a la ley de espionaje.  https://t.co/gLAsHUsd3Z,"The results? The women who saw the profile were poor at predicting.  They either didn’t like the guy as much, or liked him more than they estimated. “The best guide was knowing how one other woman felt about him,” psychologist Tim Wilson said. (2/3)"
"@regenmuseum Harte, äh, trockene Zeiten… 😢","Comment Ginko Financial, la plus célèbre banque de « Second Life », s’est écroulée https://t.co/3zxrOXy9Hx","Quanto è prezioso quel senso di familiarità e di comunità che è tanto genuino presso i #PopoliIndigeni! E quanto è importante coltivare bene il legame tra i giovani e gli anziani, e custodire un rapporto sano e armonioso con l’intero creato!","La novela ""Los versos satánicos"", de Salman Rushdie, fue considerada una blasfemia por el entonces ayatolá de Irán, Ruhollah Jomeiní, quien pidió la muerte del escritor https://t.co/i1jZsLkXdr","How well do you know yourself?

In a speed dating study, women rated how much they thought they would like a date before meeting him. One group was given the guy’s profile. Another group was only told how other women felt about the guy. (1/3)"
@rainerklute 💡,L’actrice américaine Anne Heche déclarée morte une semaine après un accident de voiture https://t.co/FmvO2xgiso,"La rinascita di un dialogo passa non dalle parole, ma dal silenzio, dal non impuntarsi, dal ricominciare con pazienza ad ascoltare l’altro, le sue fatiche, quel che porta dentro. La guarigione del cuore comincia dall’ascolto.","En Corea del Sur, los conglomerados gigantes dominan la economía, y los 10 principales representan alrededor del 80% del PIB.

https://t.co/frXR5wWYBp","""I feel like she's a guardian angel of my subconscious. To remind me that I can carry on and that I'm not truly alone.""

Dell Reistad will never forget the day when her sister was badly injured in an accident and a stranger stepped in to offer comfort.

https://t.co/LmAtnTppxs"
@nnaFlurtheke Super! Allerdings musst Du dann auch die 12 Tonnen zu kleiner Äpfel nehmen.,Perquisition chez Donald Trump : des documents « top secret » saisis par le FBI https://t.co/Ely1vwpfNc,"La partenza dai porti dell’Ucraina delle prime navi cariche di cereali si presenta come un segno di speranza.  Auspico di cuore che, seguendo questa strada, si possa mettere fine ai combattimenti e arrivare a una pace giusta e duratura.","Las emisiones de carbono de Estados Unidos se reducirán en 40%. Es una bajada sensible, pero aún insuficiente, según los expertos  https://t.co/xh8unOhjyw","“We have a great deal of knowledge about ourselves, but it certainly can go wrong.”

In this week’s You 2.0 episode, psychologist Tim Wilson explores the limits of introspection. He asks the question: should we look outside of ourselves to see within?

https://t.co/CoSCT3q7Rh"
@nnaFlurtheke 😢,"Virginie Despentes en quête de réconciliation, avec « Cher connard », son lumineux nouveau roman 

Voix féministe très écoutée en France, l’autrice publie un récit post-#metoo, hymne à l’amitié, empreint d’une grande douceur. https://t.co/OVNccFxJAG","Fratelli e sorelle, camminiamo senza paura, nella certezza che il Signore ci accompagna sempre. E restiamo svegli, perché non ci succeda di addormentarci mentre il Signore passa. #VangeloDiOggi (Lc 12,32-48)",Su romance con Ellen DeGeneres fue muy mediático a fines de los años 90 https://t.co/Yp14Bo6ITi,RT @grtwokie: Week after week @HiddenBrain is one of the best hours I spend on myself!
@Dr3cksackblase @gatso__ @hansiwurst88 Die erste Antwort war noch lustig.,"Boris Johnson se dit « atterré » par l’agression contre Salman Rushdie, les politiques français apportent leur « soutien sans réserve » à l’auteur britannique ⤵ https://t.co/cNrLfsR6ef",Essere discepoli di Gesù e camminare sulla via della #santità è anzitutto lasciarsi trasfigurare dalla potenza dell’amore di Dio.,"El sospechoso del ataque fue identificado por la policía como Hadi Matar. Tiene 24 años y vive en la ciudad de Fairview, en Nueva Jersey. https://t.co/5tZSLEt8gs","RT @HanyAnber: If you only have 60 min a week dedicated to upskilling or improving yourself, I can’t recommend this podcast enough @HiddenB…"
@gatso__ @hansiwurst88 @Dr3cksackblase o-oh,"𝐋𝐈𝐕𝐄 𝐔𝐊𝐑𝐀𝐈𝐍𝐄 | 

Deux morts dans une frappe russe sur Kramatorsk, dans l’est ⤵

https://t.co/89XNkKJcjG","A volte, per dare speranza, basta essere una persona gentile, che mette da parte le sue preoccupazioni e le sue urgenze per prestare attenzione, regalare un sorriso, dire una parola di stimolo, per rendere possibile uno spazio di ascolto in mezzo a tanta indifferenza.","¿Cómo ha llegado una industria a ser necesaria para la supervivencia de Taiwán?

https://t.co/zcYOvZAZkn","We like to think misinformation doesn’t change the way we think. But new research suggests otherwise: even when it’s debunked, fake news still shapes what we believe. This and more in our newsletter: 
https://t.co/P1uWBiyN4X"
@Dr3cksackblase @hansiwurst88 Bämmbämmbämm!!!,RT @lemonde_pol: Le Conseil constitutionnel valide le paquet législatif sur le pouvoir d’achat malgré des réserves https://t.co/TTPYcO3tA4,"Gesù, Buon Pastore, si prende cura di noi perché ci ama davvero. A noi, pastori della Chiesa, è chiesta la stessa generosità nel pascere il gregge, perché possa manifestarsi la sollecitudine di Gesù per tutti e la sua compassione per le ferite di ciascuno. #CuratodArs","La fascitis necrosante es una infección ocasionada por una bacteria que libera toxinas y daña el tejido cercano.

https://t.co/5S8kigS5zo","Psychologist @ethan_kross studies introspection. In this week’s You 2.0 episode, how you can learn to make friends with the negative voice inside your head.

https://t.co/pWCwnFLqVg"
